Actual_SoC,Predicted_SoC
0.9891217,0.9856614
0.9891094,0.9856326
0.989097,0.985604
0.9890847,0.9855751
0.9890724,0.9855464
0.9890601,0.9855177
0.98904777,0.985489
0.9890354,0.9854603
0.9890232,0.9854315
0.98901093,0.98540294
0.9889986,0.9853743
0.9889863,0.9853454
0.9889741,0.9853167
0.98896176,0.98528814
0.98894954,0.98525935
0.98893726,0.98523074
0.988925,0.9852021
0.9889127,0.9851733
0.9889004,0.98514473
0.98888814,0.98511595
0.98887587,0.9850872
0.9888636,0.98505867
0.9888513,0.98502994
0.988839,0.98500115
0.9888267,0.9849725
0.98881435,0.98494387
0.9888021,0.98491496
0.9887898,0.9848864
0.98877746,0.9848576
0.98876506,0.9848289
0.9887527,0.9848001
0.9887403,0.9847714
0.9887279,0.9847425
0.9887155,0.9847137
0.98870313,0.984685
0.9886907,0.9846562
0.9886783,0.9846273
0.9886658,0.9845986
0.9886533,0.98456955
0.9886408,0.9845407
0.98862827,0.9845118
0.98861575,0.9844829
0.98860323,0.9844539
0.9885906,0.9844251
0.988578,0.9843961
0.9885653,0.9843671
0.9885527,0.984338
0.9885401,0.9843089
0.98852736,0.98428
0.98851466,0.98425096
0.9885019,0.98422176
0.9884891,0.98419267
0.9884763,0.9841634
0.98846346,0.98413426
0.9884506,0.98410505
0.98843765,0.9840757
0.9884247,0.98404646
0.9884118,0.98401713
0.98839873,0.98398787
0.98838574,0.9839585
0.9883727,0.98392904
0.9883596,0.9838996
0.98834646,0.9838702
0.9883333,0.9838407
0.98832005,0.98381114
0.9883068,0.9837816
0.9882935,0.983752
0.9882802,0.98372227
0.9882668,0.98369265
0.9882534,0.98366296
0.98824,0.98363316
0.98822653,0.98360336
0.98821294,0.9835736
0.9881994,0.98354363
0.98818576,0.9835138
0.9881721,0.98348373
0.9881584,0.9834538
0.98814464,0.9834237
0.9881308,0.98339367
0.988117,0.9833636
0.9881031,0.98333335
0.98808914,0.9833031
0.98807514,0.98327285
0.9880611,0.9832425
0.988047,0.9832122
0.9880328,0.9831818
0.9880186,0.98315126
0.9880044,0.98312074
0.9879901,0.98309034
0.98797566,0.9830597
0.9879613,0.9830289
0.98794675,0.9829983
0.9879322,0.98296744
0.9879176,0.98293674
0.98790294,0.98290586
0.9878883,0.98287475
0.9878735,0.9828438
0.9878587,0.9828129
0.9878438,0.9827818
0.98782885,0.98275054
0.98781383,0.9827194
0.98779875,0.98268807
0.9877837,0.98265666
0.9877684,0.9826254
0.98775315,0.9825939
0.98773783,0.98256236
0.9877224,0.9825309
0.98770696,0.9824991
0.9876914,0.9824675
0.9876758,0.9824357
0.98766017,0.9824039
0.98764443,0.98237205
0.9876286,0.9823399
0.9876127,0.982308
0.9875968,0.98227584
0.9875808,0.9822438
0.9875646,0.9822115
0.98754853,0.9821792
0.98753226,0.98214686
0.9875159,0.9821145
0.98749954,0.9820819
0.987483,0.9820493
0.9874666,0.9820166
0.98744994,0.981984
0.98743325,0.98195124
0.98741645,0.9819184
0.9873996,0.9818854
0.98738277,0.9818524
0.98736566,0.98181945
0.9873486,0.9817862
0.9873314,0.98175293
0.9873142,0.9817196
0.9872968,0.9816863
0.9872794,0.9816528
0.98726195,0.9816192
0.9872443,0.9815856
0.9872267,0.9815519
0.98720884,0.98151815
0.9871911,0.98148423
0.98717314,0.98145026
0.98715514,0.9814163
0.987137,0.9813822
0.9871189,0.9813479
0.9871006,0.9813137
0.9870822,0.98127943
0.98706377,0.98124486
0.9870452,0.98121035
0.9870266,0.98117584
0.98700786,0.9811411
0.98698896,0.9811063
0.98697007,0.98107135
0.9869511,0.9810364
0.9869319,0.98100126
0.9869128,0.98096615
0.9868935,0.98093104
0.9868741,0.98089576
0.9868546,0.9808603
0.98683506,0.9808248
0.9868154,0.98078924
0.9867956,0.9807536
0.9867757,0.98071784
0.9867557,0.98068196
0.98673564,0.98064595
0.9867155,0.9806098
0.98669523,0.9805738
0.98667485,0.9805375
0.98665434,0.9805012
0.9866337,0.98046476
0.9866131,0.98042816
0.9865923,0.9803915
0.98657143,0.9803549
0.9865504,0.980318
0.9865293,0.980281
0.98650813,0.98024404
0.9864868,0.98020697
0.9864654,0.9801698
0.9864438,0.98013246
0.98642224,0.98009497
0.9864005,0.9800574
0.9863786,0.98001987
0.9863567,0.9799821
