OCV,Current (mA),SOC,Resistance (ohm),dSOC/dOCV
3.932,-0.6,0.6499012111,0.00666666666666667,220.6786125
3.928,-0.3,0.6469624222,0.0133333333333333,73.4697224999997
3.924,-0.6,0.6381307889,0.00666666666666667,220.790832500001
3.92,-0.4,0.6351868778,0.01,73.5977774999979
3.916,-0.5,0.6322447,0.00800000000000001,73.5544450000014
3.912,-0.6,0.6293039333,0.00666666666666667,73.5191674999996
3.908,-0.4,0.6204924111,0.01,220.288055000001
3.904,-0.5,0.6146290556,0.00800000000000001,146.583887499999
3.896,-0.5,0.6058296889,0.016,109.99208375
3.892,-0.7,0.6028996889,0.00571428571428572,73.2499999999996
3.888,-0.3,0.5911926778,0.0133333333333333,292.675277500001
3.884,-0.5,0.5882695667,0.00800000000000001,73.0777774999996
3.88,-0.6,0.5765882667,0.00666666666666667,292.0325
3.876,-0.5,0.5707543,0.00800000000000001,145.849167499998
3.872,-0.7,0.5620098222,0.00571428571428572,218.611945000002
3.868,-0.6,0.5590968333,0.00666666666666667,72.8247224999978
3.864,-0.7,0.5445486222,0.00571428571428572,363.705277500001
3.86,-0.8,0.5358330444,0.005,217.889444999999
3.856,-0.6,0.5271256444,0.00666666666666667,217.685000000001
3.852,-0.5,0.5155305889,0.00800000000000001,289.876387499999
3.848,-0.7,0.5068481556,0.00571428571428572,217.060832500002
3.844,-0.4,0.5010650556,0.01,144.577499999998
3.84,-0.6,0.48662,0.00666666666666667,361.126390000001
3.836,-0.7,0.4750791222,0.00571428571428572,288.521945
3.832,-0.6,0.4635609778,0.00666666666666667,287.953609999999
3.828,-0.6,0.4578118222,0.00666666666666667,143.72889
3.824,-0.6,0.4463193556,0.00666666666666667,287.311664999999
3.816,-0.5,0.4319687667,0.016,179.38236125
3.812,-0.7,0.4176403778,0.00571428571428572,358.209722499999
3.808,-0.6,0.4147784333,0.00666666666666667,71.5486124999997
3.804,-0.7,0.4004829222,0.00571428571428572,357.387777500001
3.8,-0.6,0.3919168,0.00666666666666667,214.153054999999
3.796,-0.6,0.3890639667,0.00666666666666667,71.3208325000005
3.792,-0.7,0.3776648333,0.00571428571428572,284.978334999999
3.784,-0.6,0.3719740333,0.0133333333333333,71.1349999999999
3.78,-0.6,0.3577628667,0.00666666666666667,355.279164999999
3.776,-0.6,0.3549248222,0.00666666666666667,70.9511125000006
3.772,-0.8,0.3492512222,0.005,141.84
3.768,-0.4,0.3435857222,0.01,141.6375
3.764,-0.5,0.3407554778,0.00800000000000001,70.7561100000003
3.76,-0.6,0.3322696556,0.00666666666666667,212.145555
3.756,-0.6,0.3266219556,0.00666666666666667,141.192499999999
3.752,-0.4,0.3209798333,0.01,141.0530575
3.748,-0.3,0.3181624222,0.0133333333333319,70.4352775000078
3.74,-0.6,0.3125338333,0.0133333333333333,70.3573612500001
3.736,-0.7,0.3041049667,0.00571428571428572,210.721665000001
3.732,-0.6,0.3013006444,0.00666666666666667,70.1080574999998
3.728,-0.7,0.2984988667,0.00571428571428572,70.0444425000001
3.72,-0.5,0.2928994222,0.016,69.9930562499999
3.716,-0.5,0.2901036778,0.00800000000000001,69.8936099999991
3.712,-0.7,0.2873102667,0.00571428571428572,69.8352775000007
3.708,-0.3,0.2845197889,0.0133333333333333,69.7619449999992
3.7,-0.5,0.2789452667,0.016,69.6815274999998
3.696,-0.7,0.2761632444,0.00571428571428572,69.5505575000004
3.692,-0.5,0.2706080333,0.00800000000000001,138.8802775
3.684,-0.6,0.2650622556,0.0133333333333333,69.3222212499996
3.68,-0.5,0.2622942,0.00800000000000001,69.201390000001
3.672,-0.5,0.2595292222,0.016,34.5622224999994
3.668,-0.4,0.2567668333,0.01,69.0597225000005
3.66,-0.4,0.2512499889,0.02,68.9605549999999
